epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,684.688,2.15011,1.94652,1.14605,0.53915,0.4006,0.40403,0.17289,2.01641,1.69032,1.09457,0.0700119,0.00333201,0.00333201
2,1476.22,2.0375,1.61137,1.10943,0.56946,0.40134,0.43007,0.21548,1.78417,1.71263,1.01656,0.0396819,0.00633541,0.00633541
3,2519.92,1.93784,1.50151,1.07845,0.65205,0.4887,0.51342,0.25862,1.70273,1.82019,1.00327,0.009022,0.00900881,0.00900881
4,3336.86,1.846,1.39053,1.05475,0.68948,0.55701,0.60505,0.3231,1.57901,1.25319,0.96722,0.008515,0.008515,0.008515
5,3975.7,1.76122,1.30059,1.02697,0.7305,0.57803,0.62768,0.34241,1.50973,1.29826,0.95645,0.00802,0.00802,0.00802
6,4650.37,1.73196,1.24649,1.01961,0.72126,0.56153,0.62446,0.34066,1.48158,1.1946,0.94404,0.007525,0.007525,0.007525
7,5268.71,1.69194,1.2034,1.0136,0.70442,0.56121,0.61888,0.33674,1.47783,1.24675,0.93836,0.00703,0.00703,0.00703
8,5893.9,1.66621,1.16673,1.00605,0.74061,0.58267,0.65667,0.3646,1.44523,1.12394,0.92927,0.006535,0.006535,0.006535
9,6542.06,1.63268,1.12483,0.99614,0.75709,0.5976,0.67761,0.37949,1.41403,1.07352,0.92353,0.00604,0.00604,0.00604
10,7188.63,1.61728,1.09915,0.99123,0.74754,0.6087,0.68023,0.38403,1.39018,1.09128,0.91984,0.005545,0.005545,0.005545
11,7858.68,1.5751,1.05876,1.00374,0.76391,0.61884,0.69867,0.39356,1.38969,1.0412,0.91811,0.00505,0.00505,0.00505
12,8470.98,1.55214,1.02779,1.00094,0.7669,0.62667,0.70656,0.39875,1.37691,1.00716,0.9167,0.004555,0.004555,0.004555
13,9112.11,1.53826,1.01613,0.99599,0.76822,0.6263,0.70981,0.40252,1.36817,1.00648,0.91369,0.00406,0.00406,0.00406
14,9744.48,1.51336,0.98117,0.98864,0.75994,0.6472,0.7202,0.40905,1.36155,0.99438,0.91132,0.003565,0.003565,0.003565
15,10361.6,1.4985,0.95988,0.98286,0.7806,0.63424,0.72432,0.41343,1.35103,0.97021,0.90972,0.00307,0.00307,0.00307
16,11008.3,1.47609,0.93361,0.97741,0.78679,0.64443,0.73113,0.41853,1.34678,0.96284,0.90872,0.002575,0.002575,0.002575
17,11656.6,1.45952,0.91684,0.97445,0.79596,0.64524,0.7345,0.42026,1.34269,0.95473,0.90717,0.00208,0.00208,0.00208
18,12296.1,1.44839,0.90043,0.96988,0.78316,0.65599,0.73958,0.42275,1.33944,0.95145,0.90577,0.001585,0.001585,0.001585
19,12917.7,1.42961,0.88469,0.96742,0.79174,0.65404,0.74329,0.42685,1.33064,0.94634,0.90378,0.00109,0.00109,0.00109
20,13608.5,1.41604,0.86068,0.96202,0.79904,0.65547,0.74602,0.43038,1.32734,0.93752,0.90304,0.000595,0.000595,0.000595
